region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Angiang,2021-06-01,,estimate,0.9,0.9,0.3,0.5,0.7,0.8,0.9,1.1,1.6
Angiang,2021-06-02,,estimate,0.9,0.9,0.3,0.5,0.7,0.8,0.9,1.1,1.5
Angiang,2021-06-03,,estimate,0.9,0.9,0.3,0.5,0.7,0.8,1,1.1,1.5
Angiang,2021-06-04,,estimate,0.9,0.9,0.3,0.5,0.7,0.8,1,1.1,1.5
Angiang,2021-06-05,,estimate,0.9,0.9,0.3,0.5,0.7,0.8,1,1.1,1.5
Angiang,2021-06-06,,estimate,0.9,0.9,0.3,0.5,0.7,0.8,1,1.1,1.6
Angiang,2021-06-07,,estimate,0.9,1,0.3,0.5,0.7,0.8,1,1.1,1.6
Angiang,2021-06-08,,estimate,0.9,1,0.3,0.5,0.7,0.9,1,1.2,1.6
Angiang,2021-06-09,,estimate,1,1,0.3,0.5,0.8,0.9,1,1.2,1.6
Angiang,2021-06-10,,estimate,1,1,0.4,0.5,0.8,0.9,1.1,1.2,1.7
Angiang,2021-06-11,,estimate,1,1.1,0.4,0.5,0.8,0.9,1.1,1.3,1.7
Angiang,2021-06-12,,estimate,1.1,1.1,0.4,0.5,0.8,1,1.2,1.3,1.8
Angiang,2021-06-13,,estimate,1.1,1.1,0.4,0.6,0.9,1,1.2,1.4,1.9
Angiang,2021-06-14,,estimate,1.2,1.2,0.4,0.6,0.9,1.1,1.3,1.4,1.9
Angiang,2021-06-15,,estimate,1.2,1.3,0.4,0.6,1,1.1,1.3,1.5,2
Angiang,2021-06-16,,estimate,1.3,1.3,0.5,0.7,1,1.2,1.4,1.6,2.1
Angiang,2021-06-17,,estimate,1.4,1.4,0.5,0.7,1.1,1.3,1.5,1.7,2.3
Angiang,2021-06-18,,estimate,1.5,1.5,0.5,0.8,1.2,1.4,1.6,1.8,2.4
Angiang,2021-06-19,,estimate,1.6,1.6,0.5,0.9,1.3,1.5,1.7,2,2.5
Angiang,2021-06-20,,estimate,1.7,1.8,0.5,1,1.4,1.6,1.8,2.1,2.7
Angiang,2021-06-21,,estimate,1.9,1.9,0.6,1.1,1.5,1.7,2,2.3,2.9
Angiang,2021-06-22,,estimate,2,2.1,0.6,1.2,1.7,1.9,2.2,2.4,3.1
Angiang,2021-06-23,,estimate,2.2,2.3,0.6,1.4,1.8,2,2.3,2.6,3.3
Angiang,2021-06-24,,estimate,2.4,2.5,0.7,1.5,2,2.2,2.6,2.9,3.6
Angiang,2021-06-25,,estimate,2.6,2.7,0.7,1.7,2.2,2.5,2.8,3.1,4
Angiang,2021-06-26,,estimate,2.9,3,0.7,1.9,2.4,2.7,3.1,3.4,4.3
Angiang,2021-06-27,,estimate,3.1,3.2,0.8,2.1,2.7,3,3.3,3.7,4.7
Angiang,2021-06-28,,estimate,3.4,3.6,0.9,2.3,2.9,3.3,3.6,4.1,5.1
Angiang,2021-06-29,,estimate,3.8,3.9,1,2.6,3.2,3.6,4,4.4,5.6
Angiang,2021-06-30,,estimate,4.1,4.3,1.1,2.9,3.5,3.9,4.4,4.8,6.2
Angiang,2021-07-01,,estimate,4.5,4.7,1.2,3.1,3.9,4.3,4.8,5.3,6.8
Angiang,2021-07-02,,estimate,4.9,5.1,1.3,3.4,4.2,4.6,5.2,5.8,7.4
Angiang,2021-07-03,,estimate,5.3,5.6,1.4,3.7,4.6,5.1,5.7,6.3,8.2
Angiang,2021-07-04,,estimate,5.8,6,1.5,4,5,5.5,6.2,6.8,8.9
Angiang,2021-07-05,,estimate,6.3,6.5,1.6,4.4,5.4,6,6.7,7.4,9.6
Angiang,2021-07-06,,estimate,6.8,7.1,1.8,4.8,5.9,6.5,7.2,8,10.3
Angiang,2021-07-07,,estimate,7.4,7.6,1.9,5.1,6.3,7,7.8,8.6,11.1
Angiang,2021-07-08,,estimate,7.9,8.2,2,5.5,6.8,7.5,8.4,9.3,11.9
Angiang,2021-07-09,,estimate,8.6,8.9,2.2,6,7.4,8.1,9,9.9,12.7
Angiang,2021-07-10,,estimate,9.2,9.5,2.3,6.4,7.9,8.7,9.7,10.7,13.7
Angiang,2021-07-11,,estimate,9.9,10.2,2.4,6.8,8.5,9.3,10.4,11.5,14.6
Angiang,2021-07-12,,estimate,10.6,10.9,2.6,7.3,9.1,10,11.2,12.3,15.7
Angiang,2021-07-13,,estimate,11.3,11.7,2.8,7.8,9.8,10.7,12,13.2,16.8
Angiang,2021-07-14,,estimate,12.1,12.5,3,8.4,10.5,11.4,12.8,14.2,17.9
Angiang,2021-07-15,,estimate,13,13.4,3.2,9,11.2,12.3,13.8,15.2,19.1
Angiang,2021-07-16,,estimate,13.9,14.3,3.4,9.6,11.9,13.1,14.7,16.3,20.4
