region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Angiang,2021-06-01,,estimate,1,1.1,1.6,0,0,0,1,2,4
Angiang,2021-06-02,,estimate,0,0.9,1.4,0,0,0,1,1,4
Angiang,2021-06-03,,estimate,0,0.7,1.1,0,0,0,0,1,3
Angiang,2021-06-04,,estimate,0,0.9,1.4,0,0,0,1,1,4
Angiang,2021-06-05,,estimate,0,0.9,1.4,0,0,0,1,1,4
Angiang,2021-06-06,,estimate,0,0.5,0.9,0,0,0,0,1,2
Angiang,2021-06-07,,estimate,0,1,1.6,0,0,0,1,1,4
Angiang,2021-06-08,,estimate,0,1.1,1.7,0,0,0,1,2,4
Angiang,2021-06-09,,estimate,0,1,1.5,0,0,0,1,1,4
Angiang,2021-06-10,,estimate,0,0.7,1.1,0,0,0,0,1,3
Angiang,2021-06-11,,estimate,0,1,1.5,0,0,0,1,1,4
Angiang,2021-06-12,,estimate,0,1,1.5,0,0,0,1,1,4
Angiang,2021-06-13,,estimate,0,0.6,1,0,0,0,0,1,2
Angiang,2021-06-14,,estimate,1,1.1,1.6,0,0,0,1,2,4
Angiang,2021-06-15,,estimate,1,1.2,1.8,0,0,0,1,2,5
Angiang,2021-06-16,,estimate,0,1.1,1.7,0,0,0,1,2,4
Angiang,2021-06-17,,estimate,0,0.8,1.3,0,0,0,1,1,3
Angiang,2021-06-18,,estimate,1,1.1,1.7,0,0,0,1,2,4
Angiang,2021-06-19,,estimate,1,1.2,1.8,0,0,0,1,2,5
Angiang,2021-06-20,,estimate,0,0.7,1.1,0,0,0,0,1,3
Angiang,2021-06-21,,estimate,1,1.4,2,0,0,0,1,2,5
Angiang,2021-06-22,,estimate,1,1.7,2.3,0,0,1,1,2,6
Angiang,2021-06-23,,estimate,1,1.5,2.1,0,0,0,1,2,5
Angiang,2021-06-24,,estimate,0,1.1,1.8,0,0,0,1,2,4
Angiang,2021-06-25,,estimate,1,1.7,2.5,0,0,1,1,2,6
Angiang,2021-06-26,,estimate,1,1.7,2.3,0,0,1,1,2,6
Angiang,2021-06-27,,estimate,0,1,1.6,0,0,0,1,1,4
Angiang,2021-06-28,,estimate,1,2.1,2.8,0,0,1,2,3,7
Angiang,2021-06-29,,estimate,2,2.6,3.4,0,0,1,2,4,9
Angiang,2021-06-30,,estimate,1,2.4,3,0,0,1,2,3,8
Angiang,2021-07-01,,estimate,1,1.9,2.6,0,0,1,2,3,7
Angiang,2021-07-02,,estimate,2,2.7,3.4,0,0,1,2,4,9
Angiang,2021-07-03,,estimate,2,3,3.8,0,0.8,1,2,4,10
Angiang,2021-07-04,,estimate,1,1.8,2.5,0,0,1,1,3,7
Angiang,2021-07-05,,estimate,2,3.9,4.8,0,1,2,3,5,13
Angiang,2021-07-06,,estimate,3,4.7,5.4,0,1,2,4,7,15
Angiang,2021-07-07,,estimate,3,4.3,5.2,0,1,2,4,6,15
Angiang,2021-07-08,,estimate,2,3.5,4.2,0,1,1,3,5,12
Angiang,2021-07-09,,estimate,3,5.1,6,0,1,2,4,7,16
Angiang,2021-07-10,,estimate,3,5.7,6.8,0,1,2,5,8,19
Angiang,2021-07-11,,estimate,2,3.3,4.1,0,1,1,3,5,11
Angiang,2021-07-12,,estimate,4,6.9,7.9,0,1,3,6,10,22
Angiang,2021-07-13,,estimate,5,8.5,9.9,0,2,4,7,11,27
Angiang,2021-07-14,,estimate,5,7.8,8.8,0,2,4,7,11,25
Angiang,2021-07-15,,estimate,4,6.1,7.4,0,1,3,5,8,20
Angiang,2021-07-16,,estimate,6,8.5,9.5,0,2,4,8,11,27
Angiang,2021-07-17,,estimate,6,9.7,11.4,0,2,5,8,13,31
Angiang,2021-07-18,,estimate,3,5.6,6.8,0,1,2,5,8,19
Angiang,2021-07-19,,estimate,8,11.9,12.8,0,3,6,11,17,37
Angiang,2021-07-20,,estimate,9,13.8,15.7,0,3,6,12,19,46
Angiang,2021-07-21,,estimate,9,13.2,15.2,0,3,6,11,18,41
Angiang,2021-07-22,,estimate,6,9.8,11.5,0,2,4,9,13,32
Angiang,2021-07-23,,estimate,9,13.8,15.7,0,3,6,12,19,44
Angiang,2021-07-24,,estimate,10,15.1,17.6,0,4,7,13,20,48
Angiang,2021-07-25,,estimate,6,8.9,10.2,0,2,4,8,12,29
Angiang,2021-07-26,,estimate,12,19.1,21.9,0,5,9,16,25,62
Angiang,2021-07-27,,estimate,15,23,26.5,1,6,11,20,31,73
Angiang,2021-07-28,,estimate,13,20.7,22.7,0,5,10,18,28,65
Angiang,2021-07-29,,estimate,10,16,19,0,4,7,14,21,50
Angiang,2021-07-30,,estimate,16,23.1,25,1,6,11,21,32,71
Angiang,2021-07-31,,estimate,16,24.8,29.5,1,6,11,22,33,80
Angiang,2021-08-01,,estimate,9,14.2,16.5,0,3,7,12,19,45
Angiang,2021-08-02,,estimate,20,30.6,35.5,1,8,14,27,41,94
Angiang,2021-08-03,,estimate,24.5,36.9,41.1,1,10,18,32,49,116
Angiang,2021-08-04,,estimate,22,33.3,38.7,1,9,15,29,44,107
Angiang,2021-08-05,,estimate,16,25.4,28.6,1,7,12,22,34,80
Angiang,2021-08-06,,estimate,24,35.8,39.6,1,10,17,32,49,108
Angiang,2021-08-07,,estimate,26,39.3,42.9,2,10,19,34,52,123
Angiang,2021-08-08,,estimate,15,22.8,25.4,1,6,11,20,31,73
Angiang,2021-08-09,,estimate,31,47.7,49.3,2,13,23,43,68,145
Angiang,2021-08-10,,estimate,38,58.4,64.5,3,16,29,51,77.2,181
Angiang,2021-08-11,,estimate,35,50.9,56.5,2,14,26,45,67,157
Angiang,2021-08-12,,estimate,24,37.7,41.2,1,10,18,32,51,120
Angiang,2021-08-13,,estimate,37,55.2,58.6,2,15,27,49,75,170
Angiang,2021-08-14,,estimate,39,60.2,68.1,2,16,28,52,79,187
Angiang,2021-08-15,,estimate,21,33.1,38.4,1,9,16,28,44,107
Angiang,2021-08-16,,estimate,48,73.4,80.6,3,19,36,64,100.2,231
Angiang,2021-08-17,,estimate,55,83.2,94.1,4,23,40,72,109,265
Angiang,2021-08-18,,estimate,49,73.3,77.8,3,20,35,65,102,230
Angiang,2021-08-19,,estimate,35,53.2,57.8,2,14,25,46,72,167
Angiang,2021-08-20,,estimate,50.5,77.3,84.9,3,21,37,68,104,240
Angiang,2021-08-21,,estimate,52,78.6,90,3,20,38,69,105,243
Angiang,2021-08-22,,estimate,29,44,49,2,11,21,39,58,136
Angiang,2021-08-23,,estimate,58.5,89.7,98.6,4,25,43,77,119,282
Angiang,2021-08-24,,estimate,69,106.3,120.6,5,27,51,91,144.2,327
Angiang,2021-08-25,,estimate,55,87.4,101.3,4,23,40,75,118,278
Angiang,2021-08-26,,estimate,42,63.9,68.8,3,18,32,56,86,193
Angiang,2021-08-27,,estimate,56,87.4,99,3,22,41,76,116,274
Angiang,2021-08-28,,estimate,57,91,104.1,4,23,42,78,122,288
Angiang,2021-08-29,,estimate,31,48.1,52.3,2,13,23,41,65,153
Angiang,2021-08-30,,estimate,61,96.6,110.5,3.9,24,45,83,130,306
Angiang,2021-08-31,,estimate,70,108.1,116.1,4,29.8,53,94,145.2,328
Angiang,2021-09-01,,estimate,60,90.2,99.1,4,23,44,79,124,276
Angiang,2021-09-02,,estimate,42,64,69.3,3,18,31,57,87,196
Angiang,2021-09-03,,estimate,59,89.4,102.6,4,24,44,78,120,279
Angiang,2021-09-04,,estimate,56,87.8,101.6,4,22,41,74,117,277
Angiang,2021-09-05,,estimate based on partial data,30,46.4,51.4,2,12,23,40,62,146
Angiang,2021-09-06,,estimate based on partial data,59,90.1,100.2,4,24,43,79,122,281
Angiang,2021-09-07,,estimate based on partial data,65.5,98.5,108.8,4,27,48,87,130,307
Angiang,2021-09-08,,estimate based on partial data,56,85.8,100.2,4,22,40,74,114,269
Angiang,2021-09-09,,estimate based on partial data,36.5,58.1,64.9,2,15,27,50,79,180
Angiang,2021-09-10,,estimate based on partial data,49,80.4,95.9,4,21,36,66,106,252
Angiang,2021-09-11,,estimate based on partial data,51,79.5,94.2,3,20,37,67,102,254
Angiang,2021-09-12,,estimate based on partial data,27,42,49.2,1,11,19,36,55,131
Angiang,2021-09-13,,estimate based on partial data,51,82.4,102.3,3.9,20,36,68,106,264
Angiang,2021-09-14,,estimate based on partial data,53,89.4,109.9,3,21,38,73,115,301
Angiang,2021-09-15,,estimate based on partial data,45,77.2,107.1,3,18,32,61,97,246
Angiang,2021-09-16,,forecast,31,56.6,82.2,2,13,22,44,69,193
Angiang,2021-09-17,,forecast,41,74.8,119.6,2,16,29,56,90.2,253
Angiang,2021-09-18,,forecast,41,77.1,122.1,2,15,30,57,94,263
Angiang,2021-09-19,,forecast,22,40.2,57.5,1,8,16,30,49,140
Angiang,2021-09-20,,forecast,41,82.8,125.1,2,16,30,59,98,301
Angiang,2021-09-21,,forecast,45,94.1,192.1,2,18,32,62,105,332
Angiang,2021-09-22,,forecast,36,83.5,193.8,1,13,25,51,87,294
Angiang,2021-09-23,,forecast,25,62.9,185.9,1,9,17,36,63,232
Angiang,2021-09-24,,forecast,33,95.5,650.1,1,11,22,49,86.2,318
Angiang,2021-09-25,,forecast,33,97.6,486.9,2,11,23,49,88,309
Angiang,2021-09-26,,forecast,17,55,284.2,1,6,12,25,46,183
Angiang,2021-09-27,,forecast,32,163,2766.8,1,11,22,46,88,364.1
Angiang,2021-09-28,,forecast,34.5,131.9,702.6,1,11.8,23,51,95,423.1
Angiang,2021-09-29,,forecast,30,187.4,3359.7,1,9,19,45.4,89,385.1
Bacgiang,2021-05-26,,estimate,116,273.3,417.8,1,29,73,180,335,1083.2
Bacgiang,2021-05-27,,estimate,67,160.6,263.8,1,16,41,105,190.2,618
Bacgiang,2021-05-28,,estimate,103.5,247.1,422.5,1,26,62,158,298.2,956.4
Bacgiang,2021-05-29,,estimate,170,390.4,637.7,2,45.8,107.6,261,473,1459.4
Bacgiang,2021-05-30,,estimate,29,67,110.1,0,7,18,43,81,256
Bacgiang,2021-05-31,,estimate,85.5,214.7,367.4,1,21,51.6,132,255,837.5
Bacgiang,2021-06-01,,estimate,82,207.2,376,1,20,51,125,236,808
Bacgiang,2021-06-02,,estimate,152,373.4,618.9,2,38,92,235.4,454,1493
Bacgiang,2021-06-03,,estimate,73,183,303.4,1,18,45,115,223,720
Bacgiang,2021-06-04,,estimate,98,238.1,393.1,1,23,61,153,292.2,928
Bacgiang,2021-06-05,,estimate,154,352,574.7,2,38,99,235,427,1325
