region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Angiang,2021-06-01,,estimate,-0.00324910304817574,-0.00387714093607514,0.0430921234808043,-0.0764153311320219,-0.0342765882876388,-0.0148237316785114,0.00854420827612793,0.0271687313092524,0.065301251707999
Angiang,2021-06-02,,estimate,-0.00265387049827668,-0.00319276236905105,0.0419628891865068,-0.075128386655043,-0.0319759756776754,-0.0133581050782434,0.00896334961124138,0.0267136621352171,0.0646030086404119
Angiang,2021-06-03,,estimate,-0.00149446903379996,-0.00218822702339124,0.0412040577860228,-0.0736655650601603,-0.0297695729921732,-0.0118080844264278,0.0094517244770382,0.0272727669187812,0.0641662347540843
Angiang,2021-06-04,,estimate,0.000386990928986413,-0.000838805727943402,0.0406984385927059,-0.0727361353993543,-0.0274144097422618,-0.00972535232233547,0.0108011820607695,0.0278239454233381,0.063813838772542
Angiang,2021-06-05,,estimate,0.00255000408874054,0.000878904881565691,0.040329518588957,-0.0706960507999904,-0.0241374051746406,-0.00681887530608153,0.012883912351375,0.0287136226060536,0.0639126944562417
Angiang,2021-06-06,,estimate,0.00549312559294334,0.0029863614376748,0.0399909451158911,-0.068495440083381,-0.0208164164786461,-0.00396930026543024,0.0150713668303318,0.0302840910516285,0.0645392509658953
Angiang,2021-06-07,,estimate,0.00836145955745389,0.00550224196956478,0.039591748035286,-0.0665854527971654,-0.0169585205072472,-0.00088117821586224,0.0177497791272395,0.0324332357310671,0.0652874767594727
Angiang,2021-06-08,,estimate,0.0117193776816149,0.00844133413819149,0.0390573431990622,-0.0622410588685848,-0.012804730123407,0.0028356712736689,0.0207933761234327,0.0347502806534513,0.0668093183433872
Angiang,2021-06-09,,estimate,0.0152961758162882,0.0118131954578222,0.0383283256768347,-0.0577201130194548,-0.00877457967635997,0.00676350217230839,0.0242922460446473,0.0375243102698997,0.0677025776579037
Angiang,2021-06-10,,estimate,0.0195729018986637,0.0156207220624733,0.0373596825915502,-0.0503361864897485,-0.00428333152696921,0.0108213956342267,0.0277757670516068,0.0407047209968834,0.068606038022456
Angiang,2021-06-11,,estimate,0.0238322461896135,0.0198587580994052,0.036122432300161,-0.0452504249939456,0.00171434766004661,0.0156421117756072,0.0316059359763808,0.0440887730669079,0.0701750264716968
Angiang,2021-06-12,,estimate,0.0284035729983099,0.0245128007765503,0.0346086173927691,-0.0382602391194018,0.00699198689342114,0.0206714557871594,0.0359218708903411,0.0473883055266565,0.0721602491847503
Angiang,2021-06-13,,estimate,0.0331919666891039,0.0295577710402599,0.0328398287805801,-0.0289205116512322,0.0130253903174856,0.0258462837820132,0.0399490285709979,0.0511665127860757,0.0746267032687141
Angiang,2021-06-14,,estimate,0.0379930261106073,0.0349567922532612,0.0308792544783875,-0.0207480278371018,0.0195181171660206,0.031172365060825,0.0447920083130165,0.0549937084637243,0.0775503897597659
Angiang,2021-06-15,,estimate,0.0432081998926881,0.0406599770687206,0.0288469697668176,-0.00982270663471576,0.0252946957299003,0.036906882229387,0.049493261044737,0.0590316503685307,0.0812311833924031
