region,date,confirm
Angiang,2021-05-26,0
Bacgiang,2021-05-26,198
Backan,2021-05-26,0
Baclieu,2021-05-26,0
Bacninh,2021-05-26,93
Bariavungtau,2021-05-26,0
Bentre,2021-05-26,0
Binhduong,2021-05-26,0
Binhphuoc,2021-05-26,0
Binhthuan,2021-05-26,0
Camau,2021-05-26,0
Cantho,2021-05-26,0
Caobang,2021-05-26,0
Daklak,2021-05-26,0
Daknong,2021-05-26,0
Danang,2021-05-26,0
Dienbien,2021-05-26,1
Dongnai,2021-05-26,0
Dongthap,2021-05-26,0
Gialai,2021-05-26,0
Hagiang,2021-05-26,0
Haiduong,2021-05-26,4
Haiphong,2021-05-26,0
Hanam,2021-05-26,0
Hanoi,2021-05-26,15
Hatinh,2021-05-26,0
Haugiang,2021-05-26,0
Hoabinh,2021-05-26,0
Hochiminh,2021-05-26,0
Hungyen,2021-05-26,0
Khanhhoa,2021-05-26,0
Kiengiang,2021-05-26,0
Kontum,2021-05-26,0
Laichau,2021-05-26,0
Lamdong,2021-05-26,0
Langson,2021-05-26,0
Laocai,2021-05-26,0
Longan,2021-05-26,0
Namdinh,2021-05-26,0
Nghean,2021-05-26,0
Ninhbinh,2021-05-26,0
Ninhthuan,2021-05-26,0
Phutho,2021-05-26,0
Phuyen,2021-05-26,0
Quangbinh,2021-05-26,0
Quangnam,2021-05-26,0
Quangngai,2021-05-26,0
Quangninh,2021-05-26,0
Quangtri,2021-05-26,0
Soctrang,2021-05-26,0
Sonla,2021-05-26,0
Tayninh,2021-05-26,0
Thaibinh,2021-05-26,0
Thainguyen,2021-05-26,0
Thanhhoa,2021-05-26,1
Thuathienhue,2021-05-26,0
Tiengiang,2021-05-26,0
Travinh,2021-05-26,0
Tuyenquang,2021-05-26,0
Vinhlong,2021-05-26,0
Vinhphuc,2021-05-26,0
Yenbai,2021-05-26,0
Angiang,2021-05-27,0
Bacgiang,2021-05-27,128
Backan,2021-05-27,0
Baclieu,2021-05-27,0
Bacninh,2021-05-27,52
Bariavungtau,2021-05-27,0
Bentre,2021-05-27,0
Binhduong,2021-05-27,0
Binhphuoc,2021-05-27,0
Binhthuan,2021-05-27,0
Camau,2021-05-27,0
Cantho,2021-05-27,0
Caobang,2021-05-27,0
Daklak,2021-05-27,0
Daknong,2021-05-27,0
Danang,2021-05-27,1
Dienbien,2021-05-27,1
Dongnai,2021-05-27,0
Dongthap,2021-05-27,0
Gialai,2021-05-27,0
Hagiang,2021-05-27,0
Haiduong,2021-05-27,1
Haiphong,2021-05-27,0
Hanam,2021-05-27,0
Hanoi,2021-05-27,8
Hatinh,2021-05-27,0
Haugiang,2021-05-27,0
Hoabinh,2021-05-27,0
Hochiminh,2021-05-27,36
Hungyen,2021-05-27,0
Khanhhoa,2021-05-27,0
Kiengiang,2021-05-27,0
Kontum,2021-05-27,0
Laichau,2021-05-27,0
Lamdong,2021-05-27,0
Langson,2021-05-27,1
Laocai,2021-05-27,0
Longan,2021-05-27,0
Namdinh,2021-05-27,0
Nghean,2021-05-27,0
Ninhbinh,2021-05-27,0
Ninhthuan,2021-05-27,0
Phutho,2021-05-27,0
Phuyen,2021-05-27,0
Quangbinh,2021-05-27,0
Quangnam,2021-05-27,0
Quangngai,2021-05-27,0
Quangninh,2021-05-27,0
Quangtri,2021-05-27,0
Soctrang,2021-05-27,2
Sonla,2021-05-27,0
Tayninh,2021-05-27,0
Thaibinh,2021-05-27,0
Thainguyen,2021-05-27,0
Thanhhoa,2021-05-27,0
Thuathienhue,2021-05-27,0
Tiengiang,2021-05-27,0
Travinh,2021-05-27,0
Tuyenquang,2021-05-27,0
Vinhlong,2021-05-27,0
Vinhphuc,2021-05-27,0
Yenbai,2021-05-27,0
Angiang,2021-05-28,0
Bacgiang,2021-05-28,53
Backan,2021-05-28,0
Baclieu,2021-05-28,0
Bacninh,2021-05-28,13
Bariavungtau,2021-05-28,0
Bentre,2021-05-28,0
Binhduong,2021-05-28,0
Binhphuoc,2021-05-28,0
Binhthuan,2021-05-28,0
Camau,2021-05-28,0
Cantho,2021-05-28,0
Caobang,2021-05-28,0
Daklak,2021-05-28,0
Daknong,2021-05-28,0
Danang,2021-05-28,0
Dienbien,2021-05-28,0
Dongnai,2021-05-28,0
Dongthap,2021-05-28,0
Gialai,2021-05-28,0
Hagiang,2021-05-28,0
Haiduong,2021-05-28,1
Haiphong,2021-05-28,0
Hanam,2021-05-28,1
